Date,TV,Computer,Phone,Books,Comic.books,Newspapers,Wakes.before.alarm,Times.snooze.was.hit,Woke.up.on.first.alarm?,Sleep.quality.scale,Anxiety.Stress,Emotional.fatigue,Healthy.Ill,Caffeine.Intake,Alcohol,Meal.times
2020-09-29,0,20,15,45,0,0,1,2,0,3,1,2,0,2,0,20:30
2020-09-30,120,0,0,0,0,0,2,2,0,2,1,2,0,3,1,20:00
2020-10-01,240,0,25,0,0,0,2,3,0,1,2,3,0,2,1,20:20
2020-10-02,240,0,30,0,0,0,3,0,0,1,2,3,0,2,1,20:00
2020-10-03,180,0,45,0,0,0,2,0,0,3,1,2,0,4,1,18:00
2020-10-04,60,0,25,80,0,0,2,0,0,3,0,1,0,1,1,20:15
2020-10-05,60,15,30,60,0,0,1,2,0,2,1,1,0,2,1,21:00
2020-10-06,45,0,35,0,0,0,2,0,1,3,0,0,0,2,0,20:30
2020-10-07,45,0,20,0,0,0,2,1,0,2,2,1,0,4,1,19:30
2020-10-08,0,150,15,0,0,0,2,1,0,2,1,1,0,3,0,20:00
2020-10-09,60,60,0,60,0,0,1,0,1,3,3,2,0,2,0,19:00
2020-10-10,0,120,0,0,0,0,2,0,0,2,3,3,0,2,1,18:30
2020-10-11,0,180,15,0,0,0,1,0,0,2,2,2,0,1,0,21:00
2020-10-12,0,90,0,0,0,0,1,3,0,2,3,1,0,1,1,20:30
2020-10-13,0,120,0,0,0,0,1,3,0,2,3,2,0,2,1,17:30
2020-10-14,60,0,0,35,0,0,2,2,0,2,2,2,0,1,0,20:00
2020-10-15,0,180,0,0,0,0,2,1,0,2,3,2,0,2,0,20:30
2020-10-16,60,0,0,15,0,0,2,1,0,2,2,3,0,2,1,19:30
2020-10-17,120,0,15,15,0,0,2,1,0,2,2,3,0,2,1,16:00
2020-10-18,0,0,0,0,0,0,0,0,0,3,2,3,0,3,1,16:00
2020-10-19,0,150,0,0,0,0,2,2,0,2,2,2,0,3,0,17:30
2020-10-20,0,120,0,0,0,0,1,3,0,4,2,3,0,1,0,17:30
2020-10-21,0,60,0,0,0,0,1,2,0,2,2,2,0,2,0,19:00
2020-10-22,0,60,0,0,60,0,1,2,0,2,2,1,0,2,0,21:00
2020-10-23,0,25,0,0,60,0,1,2,1,2,1,1,0,2,0,19:30
2020-10-24,0,120,0,0,30,0,1,0,0,2,2,2,0,1,1,22:00
2020-10-25,90,0,20,0,15,0,1,0,0,2,1,1,0,3,1,19:45
2020-10-26,0,90,0,0,120,0,1,1,1,3,3,2,0,2,1,19:30
2020-10-27,30,0,25,45,0,0,2,1,1,2,2,2,0,3,0,17:30
2020-10-28,20,120,0,0,0,0,3,0,1,1,2,2,0,3,0,19:30
2020-10-29,0,180,0,0,0,0,2,1,0,2,3,2,0,3,1,17:30
2020-10-30,120,60,0,0,0,0,3,0,0,1,2,3,0,3,1,17:30
2020-10-31,120,45,0,0,0,0,2,1,0,2,2,2,0,2,1,18:30
2020-11-01,60,90,30,0,0,0,2,0,0,2,2,1,0,3,1,19:00
2020-11-02,45,0,0,0,60,0,1,0,0,3,3,1,0,2,0,17:45
2020-11-03,0,30,0,0,45,0,2,1,0,2,4,2,0,2,0,20:30
2020-11-04,25,120,0,0,15,0,1,1,1,1,3,2,0,3,0,19:30
2020-11-05,60,60,0,0,0,0,1,0,1,2,3,3,0,3,0,20:30
2020-11-06,0,90,0,0,0,0,2,1,0,2,2,2,0,2,1,19:50
2020-11-07,90,30,0,0,0,0,1,0,0,3,2,1,0,2,1,19:00
2020-11-08,180,0,0,0,0,0,1,0,0,2,2,1,0,1,0,20:30
2020-11-09,25,0,30,0,0,0,0,1,0,4,1,1,0,2,1,19:45
2020-11-10,0,150,0,0,0,0,0,2,0,2,1,1,0,2,0,14:00
2020-11-11,0,120,20,40,0,0,1,1,0,3,1,1,0,2,1,18:30
2020-11-12,0,45,30,0,0,0,1,0,1,4,2,1,0,2,0,19:30
2020-11-13,0,120,15,0,0,0,1,0,1,3,2,1,0,2,0,21:00
2020-11-14,90,0,0,0,0,0,2,0,0,3,2,2,0,1,1,20:00
2020-11-15,0,180,0,0,0,0,1,0,0,3,2,1,0,2,1,20:20
2020-11-16,60,0,30,0,0,0,1,2,0,1,1,0,0,3,0,20:50
2020-11-17,0,80,15,0,0,0,1,2,0,1,2,1,0,3,1,19:45
2020-11-18,0,45,0,45,0,0,1,1,1,2,2,1,0,2,1,19:50
2020-11-19,0,120,0,0,25,0,1,2,0,2,1,1,0,2,0,20:35
2020-11-20,0,45,0,0,60,0,1,1,1,3,2,1,0,2,1,19:50
2020-11-21,0,150,0,0,40,0,1,0,0,3,1,0,0,1,1,20:45
2020-11-22,0,120,0,0,30,0,1,0,0,2,1,2,0,2,1,20:15
2020-11-23,0,0,25,0,60,0,1,1,1,2,2,1,0,2,1,20:30
2020-11-24,120,0,0,0,0,0,1,1,0,3,1,1,0,2,0,19:20
2020-11-25,0,0,0,0,40,0,1,1,0,2,1,1,0,1,1,18:50
2020-11-26,60,0,0,0,15,0,1,0,0,2,1,2,0,2,1,20:00
2020-11-27,60,0,0,0,0,0,2,0,0,2,1,1,0,2,0,20:15
2020-11-28,45,30,15,0,25,0,2,0,0,2,3,2,0,2,1,21:00
2020-11-29,60,0,40,0,20,0,3,1,0,2,3,1,0,3,1,19:40
,,,,,,,,,,,,,,,,
